lang,parser,relation,n,accuracy
en,spacy:en_core_web_trf,acl,377,0.2361
en,stanza:en,acl,377,0.756
en,spacy:en_core_web_trf,advcl,366,0.4645
en,stanza:en,advcl,366,0.7732
en,spacy:en_core_web_trf,advmod,1314,0.6644
en,stanza:en,advmod,1314,0.8691
en,spacy:en_core_web_trf,amod,1253,0.8276
en,stanza:en,amod,1253,0.8994
en,spacy:en_core_web_trf,appos,185,0.5568
en,stanza:en,appos,185,0.5081
en,spacy:en_core_web_trf,aux,939,0.7678
en,stanza:en,aux,939,0.9872
en,spacy:en_core_web_trf,case,1968,0.029
en,stanza:en,case,1968,0.9512
en,spacy:en_core_web_trf,cc,756,0.0463
en,stanza:en,cc,756,0.9286
en,spacy:en_core_web_trf,ccomp,223,0.6861
en,stanza:en,ccomp,223,0.8386
en,spacy:en_core_web_trf,compound,1140,0.7079
en,stanza:en,compound,1140,0.7544
en,spacy:en_core_web_trf,conj,861,0.59
en,stanza:en,conj,861,0.7515
en,spacy:en_core_web_trf,cop,576,0.0
en,stanza:en,cop,576,0.9132
en,spacy:en_core_web_trf,csubj,25,0.12
en,stanza:en,csubj,25,0.56
en,spacy:en_core_web_trf,det,1861,0.9618
en,stanza:en,det,1861,0.9774
en,spacy:en_core_web_trf,discourse,123,0.0
en,stanza:en,discourse,123,0.748
en,spacy:en_core_web_trf,expl,68,0.6765
en,stanza:en,expl,68,0.9118
en,spacy:en_core_web_trf,fixed,65,0.0
en,stanza:en,fixed,65,0.8769
en,spacy:en_core_web_trf,flat,278,0.0
en,stanza:en,flat,278,0.8849
en,spacy:en_core_web_trf,goeswith,8,0.0
en,stanza:en,goeswith,8,0.125
en,spacy:en_core_web_trf,iobj,71,0.0
en,stanza:en,iobj,71,0.8028
en,spacy:en_core_web_trf,list,251,0.0
en,stanza:en,list,251,0.4661
en,spacy:en_core_web_trf,mark,752,0.3245
en,stanza:en,mark,752,0.9588
en,spacy:en_core_web_trf,nmod,1198,0.0025
en,stanza:en,nmod,1198,0.8589
en,spacy:en_core_web_trf,nsubj,2074,0.65
en,stanza:en,nsubj,2074,0.9426
en,spacy:en_core_web_trf,nummod,282,0.7589
en,stanza:en,nummod,282,0.7518
en,spacy:en_core_web_trf,obj,1153,0.0
en,stanza:en,obj,1153,0.9523
en,spacy:en_core_web_trf,obl,1166,0.0
en,stanza:en,obl,1166,0.8173
en,spacy:en_core_web_trf,orphan,1,0.0
en,stanza:en,orphan,1,0.0
en,spacy:en_core_web_trf,parataxis,231,0.0173
en,stanza:en,parataxis,231,0.4286
en,spacy:en_core_web_trf,reparandum,4,0.0
en,stanza:en,reparandum,4,0.0
en,spacy:en_core_web_trf,root,2077,0.726
en,stanza:en,root,2077,0.9283
en,spacy:en_core_web_trf,vocative,21,0.0
en,stanza:en,vocative,21,0.4286
en,spacy:en_core_web_trf,xcomp,362,0.5525
en,stanza:en,xcomp,362,0.9282
ru,spacy:ru_core_news_lg,acl,2593,0.7621
ru,stanza:ru,acl,2593,0.8056
ru,spacy:ru_core_news_lg,advcl,1810,0.7088
ru,stanza:ru,advcl,1810,0.8331
ru,spacy:ru_core_news_lg,advmod,9860,0.8428
ru,stanza:ru,advmod,9860,0.8646
ru,spacy:ru_core_news_lg,amod,11954,0.9608
ru,stanza:ru,amod,11954,0.9729
ru,spacy:ru_core_news_lg,appos,1371,0.55
ru,stanza:ru,appos,1371,0.6798
ru,spacy:ru_core_news_lg,aux,788,0.9518
ru,stanza:ru,aux,788,0.9619
ru,spacy:ru_core_news_lg,case,14943,0.9762
ru,stanza:ru,case,14943,0.985
ru,spacy:ru_core_news_lg,cc,5869,0.8744
ru,stanza:ru,cc,5869,0.9487
ru,spacy:ru_core_news_lg,ccomp,865,0.8266
ru,stanza:ru,ccomp,865,0.8983
ru,spacy:ru_core_news_lg,compound,141,0.1206
ru,stanza:ru,compound,141,0.773
ru,spacy:ru_core_news_lg,conj,7640,0.7474
ru,stanza:ru,conj,7640,0.8411
ru,spacy:ru_core_news_lg,cop,729,0.8066
ru,stanza:ru,cop,729,0.8724
ru,spacy:ru_core_news_lg,csubj,897,0.8495
ru,stanza:ru,csubj,897,0.8997
ru,spacy:ru_core_news_lg,dep,1,0.0
ru,stanza:ru,dep,1,0.0
ru,spacy:ru_core_news_lg,det,3752,0.8702
ru,stanza:ru,det,3752,0.9176
ru,spacy:ru_core_news_lg,discourse,116,0.4138
ru,stanza:ru,discourse,116,0.75
ru,spacy:ru_core_news_lg,expl,100,0.06
ru,stanza:ru,expl,100,0.73
ru,spacy:ru_core_news_lg,fixed,1445,0.8713
ru,stanza:ru,fixed,1445,0.8969
ru,spacy:ru_core_news_lg,flat,1374,0.722
ru,stanza:ru,flat,1374,0.9127
ru,spacy:ru_core_news_lg,iobj,1425,0.7705
ru,stanza:ru,iobj,1425,0.7305
ru,spacy:ru_core_news_lg,mark,2804,0.8228
ru,stanza:ru,mark,2804,0.9265
ru,spacy:ru_core_news_lg,nmod,12179,0.85
ru,stanza:ru,nmod,12179,0.8836
ru,spacy:ru_core_news_lg,nsubj,11546,0.8928
ru,stanza:ru,nsubj,11546,0.9437
ru,spacy:ru_core_news_lg,nummod,1622,0.8711
ru,stanza:ru,nummod,1622,0.9427
ru,spacy:ru_core_news_lg,obj,5124,0.8952
ru,stanza:ru,obj,5124,0.9202
ru,spacy:ru_core_news_lg,obl,13404,0.712
ru,stanza:ru,obl,13404,0.8679
ru,spacy:ru_core_news_lg,orphan,171,0.0526
ru,stanza:ru,orphan,171,0.2281
ru,spacy:ru_core_news_lg,parataxis,3285,0.4673
ru,stanza:ru,parataxis,3285,0.7023
ru,spacy:ru_core_news_lg,root,8800,0.912
ru,stanza:ru,root,8800,0.9556
ru,spacy:ru_core_news_lg,vocative,32,0.0
ru,stanza:ru,vocative,32,0.5938
ru,spacy:ru_core_news_lg,xcomp,1615,0.9356
ru,stanza:ru,xcomp,1615,0.8669
